,manufacturer,seating_type,park
0,ACE Coaster Classic,Sit Down,3
1,ART Engineering,Sit Down,1
2,Abc rides,Sit Down,2
3,Arrow,4th Dimension,1
4,Arrow,Sit Down,51
5,Arrow,Suspended,8
6,B&M,Floorless,22
7,B&M,Flying,9
8,B&M,Inverted,34
9,B&M,Sit Down,25
10,B&M,Stand Up,9
11,B&M,Wing,10
12,Beijing Jiuhua,Inverted,2
13,Beijing Jiuhua,Sit Down,1
14,Beijing Shibaolai,Inverted,2
15,Big Country Mitioneering,Sit Down,1
16,Bradley & Kaye,Sit Down,2
17,CCI,Sit Down,30
18,Cavazza Diego,Sit Down,1
19,Cedeal ride,Spinning,1
20,Chance Rides,Sit Down,3
21,Charles Paige,Sit Down,3
22,Charlie Dinn,Sit Down,2
23,Coaster Works,Sit Down,1
24,D.P.V. Rides,Sit Down,1
25,Dinn Corp.,Sit Down,8
26,Don Rosser & Bill Cobb,Sit Down,1
27,Doppelmayr,Suspended,1
28,Dynamic Attractions,Sit Down,1
29,EOS rides,Spinning,1
30,Fabbri,Inverted,1
31,Fabbri,Spinning,1
32,GCI,Sit Down,28
33,Gerstlauer,Sit Down,45
34,Gerstlauer,Spinning,13
35,Giovanola,Inverted,1
36,Giovanola,Sit Down,2
37,Golden Horse,Inverted,1
38,Golden Horse,Sit Down,2
39,Golden Horse,Spinning,1
40,Gravity Group,Sit Down,17
41,Hensel Phelps Construction Co.,Sit Down,1
42,Hoei Sangyo,Sit Down,2
43,Hoei Sangyo,Suspended,1
44,Holzbau Cordes,Sit Down,1
45,I.E. Park,Sit Down,2
46,I.E. Park,Spinning,1
47,Intamin,4th Dimension,4
48,Intamin,Bobsleigh,4
49,Intamin,Inverted,8
50,Intamin,Motorbike,1
51,Intamin,Sit Down,86
52,Intamin,Spinning,1
53,Intamin,Stand Up,2
54,Intamin,Water Coaster,4
55,Intamin,Wing,2
56,International Amusement Devices,Sit Down,1
57,John Miller,Sit Down,2
58,Kings Island,Sit Down,1
59,Knoebels,Bobsleigh,1
60,L&T Systems,Sit Down,11
61,L.A. Thompson Scenic Railway,Sit Down,1
62,Mack,Bobsleigh,4
63,Mack,Inverted,1
64,Mack,Sit Down,60
65,Mack,Spinning,6
66,Mack,Water Coaster,10
67,Martin & Vleminckx,Sit Down,2
68,Maurer,Sit Down,33
69,Maurer,Spinning,13
70,Meisho Amusement Machines,Sit Down,6
71,Meisho Amusement Machines,Spinning,1
72,Miler Coaster,Sit Down,1
73,Morgan,Sit Down,8
74,National Amusement Devices,Sit Down,2
75,Pax,Sit Down,3
76,Philadelphia Toboggan Coaster,Sit Down,27
77,Pinfari,Inverted,6
78,Pinfari,Sit Down,17
79,Premier Rides,Sit Down,28
80,Premier Rides,Water Coaster,1
81,Preston & Barbieri,Sit Down,4
82,Preston & Barbieri,Spinning,1
83,RCCA,Sit Down,5
84,RES,4th Dimension,1
85,RMC,Sit Down,17
86,Reverchon,Sit Down,14
87,Reverchon,Spinning,7
88,Reverchon,Suspended,2
89,S&MC,Sit Down,2
90,S&S,4th Dimension,10
91,S&S,Sit Down,13
92,S.D.C.,Sit Down,3
93,SBF,Sit Down,2
94,SBF,Spinning,3
95,Sameco,Sit Down,1
96,Sansei Yusoki,Sit Down,4
97,Sartori,Inverted,1
98,Schwarzkopf,Sit Down,71
99,Senyo Kogyo,Sit Down,4
100,SetPoint,Suspended,1
101,SetPoint,Water Coaster,1
102,Soquet,Sit Down,8
103,Togo,Pipeline,3
104,Togo,Sit Down,7
105,Togo,Stand Up,5
106,Top Fun,Sit Down,1
107,Vekoma,Flying,6
108,Vekoma,Inverted,47
109,Vekoma,Motorbike,4
110,Vekoma,Sit Down,149
111,Vekoma,Suspended,11
112,Wiegand,Alpine,2
113,William J. Cobb,Sit Down,7
114,Zamperla,Flying,8
115,Zamperla,Motorbike,6
116,Zamperla,Sit Down,20
117,Zamperla,Spinning,4
118,Zamperla,Suspended,2
119,Zierer,Sit Down,88
120,na,Sit Down,19
