,manufacturer,seating_type,specialty
0,Sameco,Sit Down,1
1,Knoebels,Bobsleigh,1
2,Abc rides,Sit Down,2
3,GCI,Sit Down,28
4,Schwarzkopf,Sit Down,71
5,William J. Cobb,Sit Down,7
6,Zierer,Sit Down,88
7,Mack,Sit Down,60
8,RCCA,Sit Down,5
9,Philadelphia Toboggan Coaster,Sit Down,27
10,Sansei Yusoki,Sit Down,4
11,Don Rosser & Bill Cobb,Sit Down,1
12,Fabbri,Inverted,1
13,Beijing Shibaolai,Inverted,2
14,S&S,Sit Down,13
15,Premier Rides,Sit Down,28
16,RES,4th Dimension,1
17,Doppelmayr,Suspended,1
18,SBF,Spinning,3
19,B&M,Inverted,34
20,Arrow,Sit Down,51
21,Martin & Vleminckx,Sit Down,2
22,Big Country Mitioneering,Sit Down,1
23,John Miller,Sit Down,2
24,L&T Systems,Sit Down,11
25,Top Fun,Sit Down,1
26,Pinfari,Sit Down,17
27,Pax,Sit Down,3
28,Zamperla,Sit Down,20
29,Hensel Phelps Construction Co.,Sit Down,1
30,Cavazza Diego,Sit Down,1
31,Gerstlauer,Sit Down,45
32,Preston & Barbieri,Sit Down,4
33,ART Engineering,Sit Down,1
34,Wiegand,Alpine,2
35,Togo,Sit Down,7
36,Giovanola,Sit Down,2
37,Soquet,Sit Down,8
38,RMC,Sit Down,17
39,Dinn Corp.,Sit Down,8
40,Cedeal ride,Spinning,1
41,Charles Paige,Sit Down,3
42,ACE Coaster Classic,Sit Down,3
43,Coaster Works,Sit Down,1
44,L.A. Thompson Scenic Railway,Sit Down,1
45,Morgan,Sit Down,8
46,Chance Rides,Sit Down,3
47,Holzbau Cordes,Sit Down,1
48,Maurer,Sit Down,33
49,S.D.C.,Sit Down,3
50,Kings Island,Sit Down,1
51,International Amusement Devices,Sit Down,1
52,EOS rides,Spinning,1
53,Intamin,Sit Down,86
54,National Amusement Devices,Sit Down,2
55,Hoei Sangyo,Sit Down,2
56,Charlie Dinn,Sit Down,2
57,Dynamic Attractions,Sit Down,1
58,Golden Horse,Sit Down,2
59,Gravity Group,Sit Down,17
60,Sartori,Inverted,1
61,SetPoint,Suspended,1
62,Beijing Jiuhua,Inverted,2
63,Miler Coaster,Sit Down,1
64,Senyo Kogyo,Sit Down,4
65,CCI,Sit Down,30
66,S&MC,Sit Down,2
67,na,Sit Down,19
68,Meisho Amusement Machines,Sit Down,6
69,Vekoma,Sit Down,149
70,D.P.V. Rides,Sit Down,1
71,I.E. Park,Sit Down,2
72,Reverchon,Sit Down,14
73,Bradley & Kaye,Sit Down,2
